prediction_side,decision_time_bucket_start,decision_time_bucket_end,decision_time_regime,current_price_bucket_start,current_price_bucket_end,current_price_bucket,submit_second_anchor,order_delay_seconds,limit_price_anchor,limit_price,win_market_count,win_fill_market_count,a_win_market_fill,lose_market_count,lose_fill_market_count,a_lose_market_fill,sample_market_count,fallback_level,is_reliable,created_at_utc,data_start_utc,data_end_utc,current_price_source,fill_proxy,order_valid_until,a_win_market_fill_raw,a_lose_market_fill_raw
down,0,30,"[0,30)",0.0,0.05,"[0.00,0.05)",0,0,0.05,0.05,167,122,0.7305389221556886,2804,2790,0.9950071326676176,2971,level_4_side_price010,True,2026-05-17T04:08:12.369216+00:00,2026-04-14T16:00:00+00:00,2026-05-14T15:55:00+00:00,last_valid_trade,taker_sell_price_lte_limit_price_after_submit_second,market_end,0.7305389221556886,0.9950071326676176
down,0,30,"[0,30)",0.0,0.05,"[0.00,0.05)",0,0,0.1,0.1,167,167,1.0,2804,2804,1.0,2971,level_4_side_price010,True,2026-05-17T04:08:12.369216+00:00,2026-04-14T16:00:00+00:00,2026-05-14T15:55:00+00:00,last_valid_trade,taker_sell_price_lte_limit_price_after_submit_second,market_end,1.0,1.0
down,0,30,"[0,30)",0.0,0.05,"[0.00,0.05)",0,0,0.15,0.15,167,167,1.0,2804,2804,1.0,2971,level_4_side_price010,True,2026-05-17T04:08:12.369216+00:00,2026-04-14T16:00:00+00:00,2026-05-14T15:55:00+00:00,last_valid_trade,taker_sell_price_lte_limit_price_after_submit_second,market_end,1.0,1.0
down,0,30,"[0,30)",0.0,0.05,"[0.00,0.05)",0,0,0.2,0.2,167,167,1.0,2804,2804,1.0,2971,level_4_side_price010,True,2026-05-17T04:08:12.369216+00:00,2026-04-14T16:00:00+00:00,2026-05-14T15:55:00+00:00,last_valid_trade,taker_sell_price_lte_limit_price_after_submit_second,market_end,1.0,1.0
down,0,30,"[0,30)",0.0,0.05,"[0.00,0.05)",0,0,0.25,0.25,167,167,1.0,2804,2804,1.0,2971,level_4_side_price010,True,2026-05-17T04:08:12.369216+00:00,2026-04-14T16:00:00+00:00,2026-05-14T15:55:00+00:00,last_valid_trade,taker_sell_price_lte_limit_price_after_submit_second,market_end,1.0,1.0
down,0,30,"[0,30)",0.0,0.05,"[0.00,0.05)",0,0,0.3,0.3,167,167,1.0,2804,2804,1.0,2971,level_4_side_price010,True,2026-05-17T04:08:12.369216+00:00,2026-04-14T16:00:00+00:00,2026-05-14T15:55:00+00:00,last_valid_trade,taker_sell_price_lte_limit_price_after_submit_second,market_end,1.0,1.0
down,0,30,"[0,30)",0.0,0.05,"[0.00,0.05)",0,0,0.35,0.35,167,167,1.0,2804,2804,1.0,2971,level_4_side_price010,True,2026-05-17T04:08:12.369216+00:00,2026-04-14T16:00:00+00:00,2026-05-14T15:55:00+00:00,last_valid_trade,taker_sell_price_lte_limit_price_after_submit_second,market_end,1.0,1.0
down,0,30,"[0,30)",0.0,0.05,"[0.00,0.05)",0,0,0.4,0.4,167,167,1.0,2804,2804,1.0,2971,level_4_side_price010,True,2026-05-17T04:08:12.369216+00:00,2026-04-14T16:00:00+00:00,2026-05-14T15:55:00+00:00,last_valid_trade,taker_sell_price_lte_limit_price_after_submit_second,market_end,1.0,1.0
down,0,30,"[0,30)",0.0,0.05,"[0.00,0.05)",0,0,0.45,0.45,167,167,1.0,2804,2804,1.0,2971,level_4_side_price010,True,2026-05-17T04:08:12.369216+00:00,2026-04-14T16:00:00+00:00,2026-05-14T15:55:00+00:00,last_valid_trade,taker_sell_price_lte_limit_price_after_submit_second,market_end,1.0,1.0
down,0,30,"[0,30)",0.0,0.05,"[0.00,0.05)",0,0,0.5,0.5,167,167,1.0,2804,2804,1.0,2971,level_4_side_price010,True,2026-05-17T04:08:12.369216+00:00,2026-04-14T16:00:00+00:00,2026-05-14T15:55:00+00:00,last_valid_trade,taker_sell_price_lte_limit_price_after_submit_second,market_end,1.0,1.0
