decile,row_count,p_up_min,p_up_max,p_up_mean,actual_up_rate,accepted_rate,accuracy
0,268,0.14354460752226902,0.14504461072742547,0.14388602616224866,0.10074626865671642,1.0,0.8992537313432836
1,249,0.14671694141451302,0.23285213376063593,0.1858907177137855,0.20080321285140562,1.0,0.7991967871485943
2,320,0.23990042786487806,0.2976135215387774,0.2770198421918072,0.29375,1.0,0.70625
3,392,0.2992968614405989,0.42517587063112183,0.40051503916321185,0.4336734693877551,0.25255102040816324,0.6666666666666666
4,78,0.43029082224252846,0.46513384220966175,0.44357178653930707,0.41025641025641024,0.0,
5,247,0.46657099554013115,0.601311331172831,0.5326105211839235,0.4898785425101215,0.0,
6,280,0.6030932642626418,0.6625276422066515,0.6403832195088273,0.65,0.4857142857142857,0.7058823529411765
7,235,0.6633240997245157,0.7204075776046386,0.7072367969132111,0.6595744680851063,1.0,0.6595744680851063
8,257,0.7248132696166031,0.8290262367958843,0.7516053451716092,0.8093385214007782,1.0,0.8093385214007782
9,259,0.8332961874558522,0.8807970779778822,0.8740102588452614,0.9613899613899614,1.0,0.9613899613899614
