feature,importance,rank
bucket_90_120_down_last_price,0.3910557202414802,1
up_last_price_minus_down_last_price,0.20495206538275995,2
down_token_last_price,0.10397808213164854,3
bucket_90_120_down_vwap,0.10014485919949825,4
bucket_90_120_up_vwap,0.07784510377568693,5
down_token_size_weighted_last_30s_price,0.04272058531365269,6
up_token_size_weighted_last_30s_price,0.02471167930216584,7
down_token_vwap,0.018041920461121217,8
bucket_90_120_up_last_price,0.016783013243832766,9
up_price_momentum_minus_down_price_momentum,0.01672985631434547,10
down_token_price_slope_time,0.0030371146338080256,11
bucket_0_15_down_last_price,0.0,12
bucket_0_15_down_price_change,0.0,13
bucket_0_15_size_sum,0.0,14
bucket_0_15_notional_sum,0.0,15
bucket_0_15_down_vwap,0.0,16
bucket_15_30_notional_sum,0.0,17
bucket_15_30_down_vwap,0.0,18
bucket_0_15_trade_count,0.0,19
bucket_0_15_up_price_change,0.0,20
bucket_0_15_up_last_price,0.0,21
bucket_15_30_up_vwap,0.0,22
bucket_30_60_down_last_price,0.0,23
bucket_30_60_down_price_change,0.0,24
bucket_30_60_down_vwap,0.0,25
bucket_30_60_notional_sum,0.0,26
bucket_30_60_size_sum,0.0,27
bucket_30_60_trade_count,0.0,28
bucket_30_60_up_last_price,0.0,29
bucket_30_60_up_price_change,0.0,30
bucket_30_60_up_size_share,0.0,31
bucket_15_30_size_sum,0.0,32
bucket_0_15_up_size_share,0.0,33
bucket_0_15_up_trade_share,0.0,34
bucket_0_15_up_vwap,0.0,35
bucket_15_30_down_last_price,0.0,36
bucket_15_30_down_price_change,0.0,37
bucket_60_90_notional_sum,0.0,38
bucket_60_90_down_vwap,0.0,39
bucket_60_90_down_price_change,0.0,40
bucket_60_90_down_last_price,0.0,41
bucket_30_60_up_vwap,0.0,42
bucket_60_90_up_size_share,0.0,43
bucket_60_90_up_price_change,0.0,44
bucket_60_90_size_sum,0.0,45
bucket_60_90_up_vwap,0.0,46
bucket_60_90_up_trade_share,0.0,47
bucket_90_120_notional_sum,0.0,48
bucket_90_120_down_price_change,0.0,49
bucket_90_120_size_sum,0.0,50
bucket_90_120_trade_count,0.0,51
bucket_60_90_up_last_price,0.0,52
bucket_60_90_trade_count,0.0,53
bucket_90_120_up_size_share,0.0,54
bucket_90_120_up_price_change,0.0,55
buy_sell_count_imbalance,0.0,56
bucket_90_120_up_trade_share,0.0,57
buy_size_sum,0.0,58
buy_trade_count,0.0,59
dayofweek_utc,0.0,60
buy_sell_size_imbalance,0.0,61
down_sell_pressure,0.0,62
down_token_first_price,0.0,63
bucket_30_60_up_trade_share,0.0,64
bucket_15_30_trade_count,0.0,65
bucket_15_30_up_last_price,0.0,66
bucket_15_30_up_price_change,0.0,67
bucket_15_30_up_size_share,0.0,68
bucket_15_30_up_trade_share,0.0,69
down_token_notional_sum,0.0,70
down_token_missing_early,0.0,71
down_token_min_price,0.0,72
down_token_max_price,0.0,73
down_token_large_trade_size_sum,0.0,74
down_token_large_trade_count,0.0,75
down_token_size_sum,0.0,76
down_token_price_range,0.0,77
early_avg_price_size_weighted,0.0,78
early_first_trade_second,0.0,79
early_has_trade,0.0,80
early_last_trade_second,0.0,81
early_notional_sum,0.0,82
down_token_price_return_first_last,0.0,83
down_token_trade_count,0.0,84
early_active_seconds,0.0,85
hour_utc,0.0,86
is_asia_hours,0.0,87
is_europe_hours,0.0,88
is_us_hours,0.0,89
market_implied_up_prob_last,0.0,90
market_implied_up_prob_vwap,0.0,91
minute_of_hour,0.0,92
outcome_volume_entropy,0.0,93
price_p10,0.0,94
price_p25,0.0,95
price_p50,0.0,96
price_p75,0.0,97
price_p90,0.0,98
early_size_sum,0.0,99
early_trade_count,0.0,100
early_unique_tx_count,0.0,101
sell_trade_count,0.0,102
sell_size_sum,0.0,103
price_std,0.0,104
size_p50,0.0,105
source_is_sell_only,0.0,106
top1_trade_size_share,0.0,107
size_p95,0.0,108
size_p90,0.0,109
up_div_down_vwap,0.0,110
top3_trade_size_share,0.0,111
up_minus_down_trade_count,0.0,112
up_minus_down_vwap,0.0,113
up_sell_pressure,0.0,114
up_share_notional,0.0,115
up_share_size,0.0,116
size_std,0.0,117
up_share_trade_count,0.0,118
up_token_first_price,0.0,119
up_token_large_trade_size_sum,0.0,120
up_token_large_trade_count,0.0,121
up_token_max_price,0.0,122
up_token_min_price,0.0,123
up_token_missing_early,0.0,124
up_token_last_price,0.0,125
up_token_notional_sum,0.0,126
up_token_price_range,0.0,127
up_token_price_slope_time,0.0,128
up_token_price_return_first_last,0.0,129
up_token_size_sum,0.0,130
up_token_trade_count,0.0,131
up_token_vwap,0.0,132
whale_size_share,0.0,133
