prediction_side,decision_time_bucket_start,current_price_bucket_start,limit_price_anchor,win_market_count,win_fill_market_count,a_win_market_fill,lose_market_count,lose_fill_market_count,a_lose_market_fill,sample_market_count
up,0,0.3,0.05,0,0,0.0,3,2,0.6666666666666666,3
up,0,0.3,0.1,0,0,0.0,3,2,0.6666666666666666,3
up,0,0.3,0.15,0,0,0.0,3,3,1.0,3
up,0,0.3,0.2,0,0,0.0,3,3,1.0,3
up,0,0.3,0.25,0,0,0.0,3,3,1.0,3
up,0,0.3,0.3,0,0,0.0,3,3,1.0,3
up,0,0.3,0.35,0,0,0.0,3,3,1.0,3
up,0,0.3,0.4,0,0,0.0,3,3,1.0,3
up,0,0.3,0.45,0,0,0.0,3,3,1.0,3
up,0,0.3,0.5,0,0,0.0,3,3,1.0,3
up,0,0.3,0.55,0,0,0.0,3,3,1.0,3
up,0,0.3,0.6,0,0,0.0,3,3,1.0,3
up,0,0.3,0.65,0,0,0.0,3,3,1.0,3
up,0,0.3,0.7,0,0,0.0,3,3,1.0,3
up,0,0.3,0.75,0,0,0.0,3,3,1.0,3
up,0,0.3,0.8,0,0,0.0,3,3,1.0,3
up,0,0.3,0.85,0,0,0.0,3,3,1.0,3
up,0,0.3,0.9,0,0,0.0,3,3,1.0,3
up,0,0.3,0.95,0,0,0.0,3,3,1.0,3
up,0,0.35,0.05,1,1,1.0,4,4,1.0,5
up,0,0.35,0.1,1,1,1.0,4,4,1.0,5
up,0,0.35,0.15,1,1,1.0,4,4,1.0,5
up,0,0.35,0.2,1,1,1.0,4,4,1.0,5
up,0,0.35,0.25,1,1,1.0,4,4,1.0,5
up,0,0.35,0.3,1,1,1.0,4,4,1.0,5
up,0,0.35,0.35,1,1,1.0,4,4,1.0,5
up,0,0.35,0.4,1,1,1.0,4,4,1.0,5
up,0,0.35,0.45,1,1,1.0,4,4,1.0,5
up,0,0.35,0.5,1,1,1.0,4,4,1.0,5
up,0,0.35,0.55,1,1,1.0,4,4,1.0,5
up,0,0.35,0.6,1,1,1.0,4,4,1.0,5
up,0,0.35,0.65,1,1,1.0,4,4,1.0,5
