prediction_side,decision_second_bucket,current_price_bucket,order_delay_seconds,limit_price,win_market_count,win_fill_market_count,a_win_market_fill,lose_market_count,lose_fill_market_count,a_lose_market_fill,fallback_level
up,120_149,0.00_0.05,120,0.45,4,4,1.0,106,104,0.9811320754716981,fine
up,120_149,0.05_0.10,120,0.45,15,14,0.9333333333333333,246,246,1.0,fine
up,120_149,0.10_0.15,120,0.45,61,61,1.0,378,377,0.9973544973544973,fine
up,120_149,0.15_0.20,120,0.45,51,51,1.0,286,286,1.0,fine
up,120_149,0.20_0.25,120,0.45,88,87,0.9886363636363636,355,355,1.0,fine
up,120_149,0.25_0.30,120,0.45,153,153,1.0,440,440,1.0,fine
up,120_149,0.30_0.35,120,0.45,165,163,0.9878787878787879,325,325,1.0,fine
up,120_149,0.35_0.40,120,0.45,161,158,0.9813664596273292,251,250,0.9960159362549801,fine
up,120_149,0.40_0.45,120,0.45,225,208,0.9244444444444444,320,320,1.0,fine
up,120_149,0.45_0.50,120,0.45,272,213,0.7830882352941176,321,321,1.0,fine
up,120_149,0.50_0.55,120,0.45,295,193,0.6542372881355932,293,292,0.9965870307167235,fine
up,120_149,0.55_0.60,120,0.45,369,206,0.5582655826558266,269,268,0.9962825278810409,fine
up,120_149,0.60_0.65,120,0.45,296,115,0.3885135135135135,154,153,0.9935064935064936,fine
up,120_149,0.65_0.70,120,0.45,419,158,0.37708830548926014,210,210,1.0,fine
up,120_149,0.70_0.75,120,0.45,318,84,0.2641509433962264,110,109,0.990909090909091,fine
up,120_149,0.75_0.80,120,0.45,356,73,0.2050561797752809,103,103,1.0,fine
up,120_149,0.80_0.85,120,0.45,344,64,0.18604651162790697,79,78,0.9873417721518988,fine
up,120_149,0.85_0.90,120,0.45,325,44,0.13538461538461538,36,36,1.0,fine
up,120_149,0.90_0.95,120,0.45,327,20,0.06116207951070336,11,11,1.0,fine
up,120_149,0.95_1.00,120,0.45,60,3,0.05,1,1,1.0,fine
up,any,any,120,0.45,4304,2072,0.48141263940520446,4294,4285,0.9979040521658128,side_delay_price
up,120_149,0.00_0.05,120,0.5,4,4,1.0,106,104,0.9811320754716981,fine
up,120_149,0.05_0.10,120,0.5,15,14,0.9333333333333333,246,246,1.0,fine
up,120_149,0.10_0.15,120,0.5,61,61,1.0,378,377,0.9973544973544973,fine
up,120_149,0.15_0.20,120,0.5,51,51,1.0,286,286,1.0,fine
up,120_149,0.20_0.25,120,0.5,88,88,1.0,355,355,1.0,fine
up,120_149,0.25_0.30,120,0.5,153,153,1.0,440,440,1.0,fine
up,120_149,0.30_0.35,120,0.5,165,165,1.0,325,325,1.0,fine
up,120_149,0.35_0.40,120,0.5,161,160,0.9937888198757764,251,250,0.9960159362549801,fine
up,120_149,0.40_0.45,120,0.5,225,218,0.9688888888888889,320,320,1.0,fine
up,120_149,0.45_0.50,120,0.5,272,261,0.9595588235294118,321,321,1.0,fine
up,120_149,0.50_0.55,120,0.5,295,241,0.8169491525423729,293,292,0.9965870307167235,fine
up,120_149,0.55_0.60,120,0.5,369,230,0.6233062330623306,269,269,1.0,fine
up,120_149,0.60_0.65,120,0.5,296,147,0.4966216216216216,154,153,0.9935064935064936,fine
up,120_149,0.65_0.70,120,0.5,419,193,0.4606205250596659,210,210,1.0,fine
up,120_149,0.70_0.75,120,0.5,318,95,0.29874213836477986,110,109,0.990909090909091,fine
up,120_149,0.75_0.80,120,0.5,356,91,0.2556179775280899,103,103,1.0,fine
up,120_149,0.80_0.85,120,0.5,344,78,0.22674418604651161,79,78,0.9873417721518988,fine
up,120_149,0.85_0.90,120,0.5,325,50,0.15384615384615385,36,36,1.0,fine
up,120_149,0.90_0.95,120,0.5,327,23,0.07033639143730887,11,11,1.0,fine
up,120_149,0.95_1.00,120,0.5,60,4,0.06666666666666667,1,1,1.0,fine
up,any,any,120,0.5,4304,2327,0.5406598513011153,4294,4286,0.9981369352585002,side_delay_price
up,120_149,0.00_0.05,120,0.55,4,4,1.0,106,104,0.9811320754716981,fine
up,120_149,0.05_0.10,120,0.55,15,14,0.9333333333333333,246,246,1.0,fine
up,120_149,0.10_0.15,120,0.55,61,61,1.0,378,377,0.9973544973544973,fine
up,120_149,0.15_0.20,120,0.55,51,51,1.0,286,286,1.0,fine
up,120_149,0.20_0.25,120,0.55,88,88,1.0,355,355,1.0,fine
up,120_149,0.25_0.30,120,0.55,153,153,1.0,440,440,1.0,fine
up,120_149,0.30_0.35,120,0.55,165,165,1.0,325,325,1.0,fine
up,120_149,0.35_0.40,120,0.55,161,161,1.0,251,250,0.9960159362549801,fine
up,120_149,0.40_0.45,120,0.55,225,224,0.9955555555555555,320,320,1.0,fine
up,120_149,0.45_0.50,120,0.55,272,266,0.9779411764705882,321,321,1.0,fine
up,120_149,0.50_0.55,120,0.55,295,279,0.9457627118644067,293,292,0.9965870307167235,fine
up,120_149,0.55_0.60,120,0.55,369,287,0.7777777777777778,269,269,1.0,fine
up,120_149,0.60_0.65,120,0.55,296,184,0.6216216216216216,154,154,1.0,fine
up,120_149,0.65_0.70,120,0.55,419,229,0.5465393794749404,210,210,1.0,fine
up,120_149,0.70_0.75,120,0.55,318,118,0.3710691823899371,110,109,0.990909090909091,fine
up,120_149,0.75_0.80,120,0.55,356,110,0.3089887640449438,103,103,1.0,fine
up,120_149,0.80_0.85,120,0.55,344,91,0.26453488372093026,79,78,0.9873417721518988,fine
