feature,importance,rank
bucket_90_120_last_no_vig_up,0.029990418790053253,1
token_last_no_vig_up,0.027289669043440067,2
token_last_complement_up,0.026483895696577706,3
down_token_last_price,0.023950260239759442,4
bucket_90_120_down_last_price,0.022128868237658746,5
up_last_price_minus_down_last_price,0.021092013667474603,6
bucket_90_120_up_last_price,0.01950405085518458,7
token_size_weighted_last_30s_no_vig_up,0.018691351138965952,8
bucket_90_120_vwap_no_vig_up,0.018080166377787164,9
bucket_90_120_last_complement_up,0.016920690283793588,10
up_token_last_price,0.016735407532133373,11
up_token_size_weighted_last_30s_price,0.015733420408002796,12
down_token_size_weighted_last_30s_price,0.01388424923110779,13
bucket_90_120_vwap_complement_up,0.013814486303562629,14
bucket_90_120_down_vwap,0.013788876102196979,15
bucket_90_120_up_vwap,0.01322107810637849,16
token_size_weighted_last_30s_complement_up,0.013188299925629246,17
up_token_price_slope_time,0.011610709506217662,18
up_price_momentum_minus_down_price_momentum,0.01130360720049396,19
down_token_price_slope_time,0.010808093974028552,20
up_token_price_return_first_last,0.010668092429720612,21
token_vwap_no_vig_up,0.008877937946635217,22
up_minus_down_vwap,0.007821398967136387,23
token_vwap_complement_up,0.0077886525633306695,24
up_div_down_vwap,0.007612208135731273,25
up_token_vwap,0.007370195415369618,26
down_token_price_return_first_last,0.007068429355835871,27
bucket_60_90_up_size_share,0.005850100424743717,28
down_token_vwap,0.0057789911978293135,29
bucket_60_90_up_last_price,0.0055339810123280295,30
bucket_30_60_vwap_sum_minus_one,0.005513508666585753,31
size_p90,0.00550352612343596,32
bucket_30_60_vwap_abs_sum_minus_one,0.005494161923471823,33
top3_trade_size_share,0.005486176599846683,34
bucket_60_90_vwap_no_vig_up,0.00547187657265328,35
up_token_max_price,0.005470720394620555,36
price_std,0.005470112367939875,37
bucket_30_60_up_size_share,0.005446084299387865,38
token_size_weighted_last_30s_abs_sum_minus_one,0.005377706113570718,39
bucket_30_60_notional_sum,0.005246728999109051,40
bucket_60_90_down_vwap,0.0052049755537410865,41
bucket_60_90_vwap_abs_sum_minus_one,0.005179522058710543,42
bucket_90_120_vwap_abs_sum_minus_one,0.005135542100918884,43
