decile,row_count,p_up_min,p_up_max,p_up_mean,actual_up_rate,accepted_rate,accuracy
0,173,0.008361371961371962,0.1351763848896202,0.08169395706826227,0.08670520231213873,1.0,0.9132947976878613
1,172,0.13669485677720977,0.2426052447552448,0.1962002700429,0.22093023255813954,1.0,0.7790697674418605
2,172,0.24393118798985677,0.32142233942528053,0.28255827916063214,0.29651162790697677,1.0,0.7034883720930233
3,172,0.32153655301526834,0.4092475503550615,0.3698820185753705,0.37209302325581395,0.5755813953488372,0.6666666666666666
4,173,0.4093134665300299,0.4873619813536995,0.4452009540542522,0.5144508670520231,0.0,
5,172,0.48769170580021964,0.5910804823259632,0.5379882136890582,0.5406976744186046,0.0,
6,172,0.5916451237101396,0.665881073458705,0.6311152211331761,0.6453488372093024,0.47093023255813954,0.7037037037037037
7,172,0.6661952398908282,0.7381836163320684,0.7004054946986941,0.6802325581395349,1.0,0.6802325581395349
8,172,0.7382517972223855,0.830557460839814,0.7806561029339757,0.7732558139534884,1.0,0.7732558139534884
9,173,0.8315583901306812,0.9902723720723722,0.9076388184109843,0.9421965317919075,1.0,0.9421965317919075
