sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,utility,downside_risk,selection_score,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,coverage_constraint_satisfied
1723.0,0.7080673244341266,0.7922705314009661,0.7813021702838063,0.7867863508423862,0.7086477074869414,0.7868852459016393,0.27963045774145356,0.21311475409836067,1.3121121478637436,0.509016393442623,0.49098360655737705,0.625,0.375,1220.0,621.0,599.0,True
1723.0,0.7051654091700522,0.8,0.7746031746031746,0.7873015873015874,0.7086477074869414,0.7868312757201646,0.2795764875599789,0.21316872427983535,1.3115267659666965,0.48148148148148145,0.5185185185185185,0.64,0.39,1215.0,585.0,630.0,True
1723.0,0.7040046430644226,0.793046357615894,0.7799671592775042,0.7865067584466992,0.7086477074869414,0.786479802143446,0.2792250139832603,0.21352019785655396,1.3077217836358872,0.49793899422918386,0.5020610057708161,0.63,0.38,1213.0,604.0,609.0,True
1723.0,0.7040046430644226,0.7922705314009661,0.7804054054054054,0.7863379684031857,0.7086477074869414,0.786479802143446,0.2792250139832603,0.21352019785655396,1.3077217836358872,0.5119538334707338,0.4880461665292663,0.625,0.37,1213.0,621.0,592.0,True
1723.0,0.7138711549622752,0.7922705314009661,0.7799671592775042,0.7861188453392352,0.7086477074869414,0.7861788617886178,0.2789240736284321,0.21382113821138216,1.3044738044219444,0.5048780487804878,0.4951219512195122,0.625,0.38,1230.0,621.0,609.0,True
1723.0,0.7121300058038306,0.7973199329983249,0.7746031746031746,0.7859615538007498,0.7086477074869414,0.7856560717196414,0.2784012835594556,0.21434392828035864,1.2988531366062812,0.48655256723716384,0.5134474327628362,0.635,0.39,1227.0,597.0,630.0,True
1723.0,0.7069065583284968,0.7973199329983249,0.7729468599033816,0.7851333964508533,0.7086477074869414,0.7848932676518884,0.2776384794917026,0.21510673234811162,1.290701022980511,0.49014778325123154,0.5098522167487685,0.635,0.385,1218.0,597.0,621.0,True
1723.0,0.7138711549622752,0.7876386687797148,0.7813021702838063,0.7844704195317606,0.7086477074869414,0.7845528455284553,0.2772980573682695,0.21544715447154472,1.287081549294232,0.5130081300813009,0.4869918699186992,0.62,0.375,1230.0,631.0,599.0,True
1723.0,0.702263493905978,0.7876386687797148,0.7806563039723662,0.7841474863760405,0.7086477074869414,0.784297520661157,0.2770427325009712,0.215702479338843,1.2843743537401346,0.5214876033057851,0.47851239669421486,0.62,0.36,1210.0,631.0,579.0,True
1723.0,0.709808473592571,0.7876386687797148,0.7804054054054054,0.7840220370925601,0.7086477074869414,0.7841373671300081,0.2768825789698224,0.21586263286999186,1.2826795230306542,0.5159443990188062,0.48405560098119377,0.62,0.37,1223.0,631.0,592.0,True
1723.0,0.7196749854904236,0.7876386687797148,0.7799671592775042,0.7838029140286095,0.7086477074869414,0.7838709677419354,0.27661617958174967,0.21612903225806457,1.2798659055274981,0.5088709677419355,0.49112903225806454,0.62,0.38,1240.0,631.0,609.0,True
1723.0,0.705745792222867,0.7876386687797148,0.7794871794871795,0.7835629241334472,0.7086477074869414,0.7837171052631579,0.2764623171029721,0.21628289473684215,1.2782440212821824,0.5189144736842105,0.4810855263157895,0.62,0.365,1216.0,631.0,585.0,True
1723.0,0.7109692396982008,0.8,0.76875,0.784375,0.7086477074869414,0.7836734693877551,0.2764186812275693,0.21632653061224494,1.277784469825556,0.4775510204081633,0.5224489795918368,0.64,0.395,1225.0,585.0,640.0,True
1723.0,0.7161926871735346,0.793046357615894,0.7746031746031746,0.7838247661095343,0.7086477074869414,0.7836304700162074,0.2763756818560217,0.21636952998379255,1.2773318030349465,0.48946515397082657,0.5105348460291734,0.63,0.39,1234.0,604.0,630.0,True
1723.0,0.7260591990713872,0.7922705314009661,0.7746031746031746,0.7834368530020703,0.7086477074869414,0.7833733013589129,0.27611851319872716,0.21662669864108708,1.27462826572549,0.49640287769784175,0.5035971223021583,0.625,0.39,1251.0,621.0,630.0,True
1723.0,0.7040046430644226,0.7993019197207679,0.76875,0.784025959860384,0.7086477074869414,0.7831821929101401,0.27592740474995436,0.21681780708985987,1.2726233534665194,0.47238252267106345,0.5276174773289365,0.645,0.395,1213.0,573.0,640.0,True
1723.0,0.705745792222867,0.7813953488372093,0.7845884413309983,0.7829918950841037,0.7086477074869414,0.7828947368421053,0.27563994868191954,0.2171052631578947,1.2696143090803569,0.5304276315789473,0.46957236842105265,0.615,0.355,1216.0,645.0,571.0,True
1723.0,0.7109692396982008,0.793046357615894,0.7729468599033816,0.7829966087596378,0.7086477074869414,0.7828571428571428,0.27560235469695704,0.2171428571428572,1.2692213703149335,0.4930612244897959,0.506938775510204,0.63,0.385,1225.0,604.0,621.0,True
1723.0,0.7028438769587928,0.7813953488372093,0.784452296819788,0.7829238228284987,0.7086477074869414,0.782824112303881,0.2755693241436953,0.21717588769611895,1.2688762415894104,0.532617671345995,0.467382328654005,0.615,0.35,1211.0,645.0,566.0,True
1723.0,0.7208357515960534,0.7922705314009661,0.7729468599033816,0.7826086956521738,0.7086477074869414,0.782608695652174,0.2753539074919882,0.21739130434782605,1.266627974463146,0.5,0.5,0.625,0.385,1242.0,621.0,621.0,True
1723.0,0.7179338363319792,0.7973199329983249,0.76875,0.7830349664991625,0.7086477074869414,0.7825383993532741,0.2752836111930883,0.21746160064672593,1.2658952678284396,0.4826192400970089,0.5173807599029911,0.635,0.395,1237.0,597.0,640.0,True
1723.0,0.701683110853163,0.8014311270125224,0.7661538461538462,0.7837924865831842,0.7086477074869414,0.782464846980976,0.2752100588207902,0.21753515301902404,1.2651291297123013,0.46236559139784944,0.5376344086021505,0.65,0.4,1209.0,559.0,650.0,True
1723.0,0.7011027278003482,0.7788018433179723,0.7863554757630161,0.7825786595404942,0.7086477074869414,0.7822847682119205,0.27502998005173473,0.2177152317880795,1.2632555737737472,0.5389072847682119,0.4610927152317881,0.61,0.345,1208.0,651.0,557.0,True
1723.0,0.7167730702263494,0.8,0.7661538461538462,0.7830769230769231,0.7086477074869414,0.7821862348178138,0.27493144665762803,0.2178137651821862,1.2622317346549095,0.47368421052631576,0.5263157894736842,0.64,0.4,1235.0,585.0,650.0,True
1723.0,0.702263493905978,0.7673048600883653,0.800376647834275,0.7838407539613201,0.7086477074869414,0.7818181818181819,0.2745633936579961,0.21818181818181814,1.2584155542658155,0.5611570247933885,0.4388429752066116,0.595,0.33,1210.0,679.0,531.0,True
1723.0,0.709808473592571,0.7993019197207679,0.7661538461538462,0.782727882937307,0.7086477074869414,0.7816843826655765,0.27442959450539073,0.2183156173344235,1.2570314385022208,0.46852003270645953,0.5314799672935405,0.645,0.4,1223.0,573.0,650.0,True
1723.0,0.701683110853163,0.7742424242424243,0.7905282331511839,0.7823853286968041,0.7086477074869414,0.7816377171215881,0.2743829289614024,0.21836228287841186,1.2565490951300589,0.5459057071960298,0.45409429280397023,0.605,0.34,1209.0,660.0,549.0,True
1723.0,0.7092280905397562,0.7788018433179723,0.7845884413309983,0.7816951423244853,0.7086477074869414,0.7815057283142389,0.27425094015405316,0.21849427168576108,1.2551859508174266,0.532733224222586,0.4672667757774141,0.61,0.355,1222.0,651.0,571.0,True
1723.0,0.706326175275682,0.7788018433179723,0.784452296819788,0.7816270700688801,0.7086477074869414,0.7814297452752671,0.27417495711508133,0.2185702547247329,1.2544019654475715,0.5349219391947412,0.4650780608052588,0.61,0.35,1217.0,651.0,566.0,True
1723.0,0.7219965177016832,0.7813953488372093,0.7813021702838063,0.7813487595605078,0.7086477074869414,0.7813504823151125,0.27409569415492674,0.2186495176848875,1.2535847188556206,0.5184887459807074,0.4815112540192926,0.615,0.375,1244.0,645.0,599.0,True
1723.0,0.705745792222867,0.7647907647907648,0.8030592734225621,0.7839250191066635,0.7086477074869414,0.78125,0.27399521183981423,0.21875,1.2525495398391508,0.5699013157894737,0.4300986842105263,0.585,0.325,1216.0,693.0,523.0,True
1723.0,0.7318630295995356,0.7876386687797148,0.7746031746031746,0.7811209216914448,0.7086477074869414,0.7811260904044409,0.27387130224425515,0.21887390959555908,1.2512743193116151,0.500396510705789,0.49960348929421095,0.62,0.39,1261.0,631.0,630.0,True
1723.0,0.7237376668601276,0.7973199329983249,0.7661538461538462,0.7817368895760856,0.7086477074869414,0.781074578989575,0.27381979082938923,0.218925421010425,1.2507446123232542,0.4787489975942261,0.5212510024057738,0.635,0.4,1247.0,597.0,650.0,True
1723.0,0.710388856645386,0.7813953488372093,0.7806563039723662,0.7810258264047878,0.7086477074869414,0.7810457516339869,0.27379096347380116,0.21895424836601307,1.250448280940047,0.5269607843137255,0.4730392156862745,0.615,0.36,1224.0,645.0,579.0,True
1723.0,0.702263493905978,0.7641921397379913,0.8030592734225621,0.7836257065802767,0.7086477074869414,0.78099173553719,0.27373694737700427,0.21900826446280997,1.2498932314195286,0.5677685950413223,0.4322314049586777,0.59,0.325,1210.0,687.0,523.0,True
1723.0,0.7179338363319792,0.7813953488372093,0.7804054054054054,0.7809003771213073,0.7086477074869414,0.7809215844785772,0.2736667963183914,0.21907841552142282,1.2491727935271224,0.5214227970897333,0.4785772029102668,0.615,0.37,1237.0,645.0,592.0,True
